Name,Album,Artist
The Last Wielder,「僕のヒーローアカデミア」サウンドトラックセレクション 2021-2023,Yuki Hayashi
Broken Bones,A/B,KALEO
Whatever It Takes,Evolve,Imagine Dragons
Radioactive,Night Visions,Imagine Dragons
House of Memories,Death of a Bachelor,Panic! At The Disco
FAIRY TAIL Main Theme,"""Fairy Tail"" Original Soundtrack Vol.1",Yasuharu Takanashi
Control,Control,Unknown Brain
Till I Collapse,The Eminem Show,Eminem
Legend,ATLAS,The Score
Unstoppable,ATLAS,The Score
Born For This,Carry On,The Score
Not Gonna Die,Rise (Deluxe Edition),Skillet
Eye Of The Storm,Eye Of The Storm,Watt White
Lose Yourself,SHADYXV,Various Artists
Monster,Monster,Willyecho
Hero,Awake,Skillet
Skyfall,Skyfall,Adele
Smack That,Konvicted,Akon
Boombastic,Boombastic,Shaggy
Metalingus (Edge's WWE Theme),Metalingus (Edge's WWE Theme),"It Lives, It Breathes"
Centuries,American Beauty/American Psycho,Fall Out Boy
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X
Courtesy Call,The End Is Where We Begin,Thousand Foot Krutch
