Name,Album,Artist
Waapsi,Parat,AFKAP
Zimmedaar,Overthink,Paradox
Teri Deewani,Kailasa,Kailasa
BOLO (feat. YDG),Organic,PENOMECO
Sirens,Sirens,Llunr
Saajanwa,Saajanwa,Aanchal Tyagi
FOR YOUR LOVE,Teatro d'ira - Vol. I,Måneskin
Somebody Told Me,Chosen,Måneskin
Zubaida,Naharpur Prints,Nanku
All Fall Down,KARAM,KSHMR
Aa Bhi Ja Mere Mehermaan,Jayantabhai Ki Luv Story (Original Motion Picture Soundtrack),Sachin-Jigar
Zero After Zero,KARAM,KSHMR
Khoya Sab,KARAM,KSHMR
Tehelka,Tehelka,J Trix
Bohot Sahi,Bohot Sahi,J Trix
KARMA,KARMA,Raja Kumari
नalla Freestyle,नalla Freestyle,Seedhe Maut
भूल,भूल,MaK MusicK
Nawazuddin,न,Seedhe Maut
Mausam Hai Bada Qatil,Chup Chup Ke,Himesh Reshammiya
Piya More,"Piya More (From ""Baadshaho"")",Mika Singh
O Meri Jaan,Raaz Reboot,Jeet Gannguli
Saya Mera,Saya Mera,Bella
Akatsuki,Lunch Break,Seedhe Maut
Mrignaini,Saugaat,Karun
Wife You,"Maybe, It's Love",Hasan Raheem
Me & You,Therapy,Jokhay
Jhaag,Jhaag,Chaar Diwaari
DLL,DLL,Yashraj
Wish You Were Here,Bet You Know,Frappe Ash
Wo Kehti Thi,Wo Kehti Thi,GAUSH
Your Eyes,Your Eyes,Talwiinder
surface,surface,Abdullah Siddiqui
Tu Nasha,Tu Nasha,Dhruv Sthetick
Phir Milenge,Phir Milenge,Faisal Kapadia
Why,Why,Young Stunners
Aaina,Aaina,AFKAP
Shaamein,The Gorilla Bounce,King
BLANKO,The Gorilla Bounce,King
Tera Hua Na Mai Kabhi,The Gorilla Bounce,King
Kehendi Si,Kehendi Si,Rish
Jaane De Yaara,Jaane De Yaara,Rahul Sathu
Tum Saath Rehnaa,Tum Saath Rehnaa,King
Dooba,Dooba,Nanku
"Dard Dilo Ke (From ""The Xpose"")",Harmonious Himesh - 101 Hits,Various Artists
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin
Mushk,Mushk,Ali Zafar
Woh Raat,Woh Raat,Raftaar
Tere Sang,Tere Sang,Bella
Wonder Boy,Wonder Boy,Bella
KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade
Drowning,Drowning,BiRRA
KDR,KDR,Aditya Rajgor
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin
Piya Ghar Aavenge,Chaandan Mein,Kailasa
Without you,Without you,BiRRA
Tennu Le,Jai Veeru,Bappa.B.Lahiri
Saajna (Unplugged),"I, Me Aur Main",Sachin-Jigar
Zara Zara,Zara Zara,Omkar Singh
PARINDAaa,PARINDAaa,MaK MusicK
Ijazat,Judah,Falak Shabbir
"So Long, Goodbye","So Long, Goodbye",Danny Zee
Bewafaa,Bewafaa,Dhruv Sthetick
Dilawara,Dilawara,The PropheC
Kendrick Wala Gana,Chemical Reaction,Bella
Hasti Rahe Tu,Hasti Rahe Tu,Paradox
Mujhko Barsaat Bana Lo,Junooniyat,Various Artists
Mareez - E - Ishq,Zid (Original Motion Picture Soundtrack),Shaarib Toshi
Meri Aawargi,Good Boy Bad Boy (Original Motion Picture Soundtrack),Himesh Reshammiya
Razia,Thank You,Pritam
the shoulder you used to cry on,the shoulder you used to cry on,MaK MusicK
Ek Dafaa (Chinnamma),Ek Dafaa (Chinnamma),Arjun Kanungo
Sweeta,Kill Dil,Shankar-Ehsaan-Loy
SPAIN - Extended Version,SPAIN (Extended Version),Jassa Dhillon
Monalisa,Monalisa,Sarz
Higher,Higher,Michael Bublé
Aquaman,Aquaman,Bella
Pessimist,Pessimist,Lithe
If I Killed Someone For You,Narrated For You,Alec Benjamin
UDD CHALE,The Come Up,Kidshot
Apnaa Mujhe Tu Lagaa,1920 Evil Returns,Chirantan Bhatt
Beqarar Karke Hamen Yun Na Jaiye,Bees Saal Baad,Hemant Kumar
Sway,Michael Bublé,Michael Bublé
Ride It (Original Version),My Own Way,Jay Sean
ANECDOTE,ANECDOTE,Rahul
Sahiba,Midnight,Intense
Waja,Waja,The PropheC
Take Me To Church,Hozier,Hozier
Happy Face,33,Jagwar Twin
NAZARANDAAZzz,NAZARANDAAZzz,MaK MusicK
Her,Her,Shubh
Mere Hi Liye,Mere Hi Liye,Aditya Rikhari
Aana Nahi,Aana Nahi,Aditya Rikhari
Boyfriend,Boyfriend,Dove Cameron
How Long,Voicenotes,Charlie Puth
Khai,Khai,Agsy
My Oh My (feat. DaBaby),Romance,Camila Cabello
Bad Kind of Butterflies,Romance,Camila Cabello
Birthday Wishes,Birthday Wishes,Akash
TASAWWUR,TASAWWUR,Badkidz
