Name,Album,Artist
Lipstick,Lipstick,Charlie Puth
Standing Next to You,GOLDEN,Jung Kook
greedy,greedy,Tate McRae
Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema
Attention,Voicenotes,Charlie Puth
3D (feat. Jack Harlow),GOLDEN,Jung Kook
Yes or No,GOLDEN,Jung Kook
Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Summer Feelings (feat. Charlie Puth),Lennon Stella
Closer to You (feat. Major Lazer),GOLDEN,Jung Kook
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth
Hard On Yourself,Hard On Yourself,Charlie Puth
Light Switch,Light Switch,Charlie Puth
Let Me Love You,Encore,DJ Snake
Treat You Better,Illuminate,Shawn Mendes
Perfect Strangers,Blue,Jonas Blue
Girlfriend,Girlfriend,Charlie Puth
Closer,Closer,The Chainsmokers
Paris,Memories...Do Not Open,The Chainsmokers
Something Just Like This,Memories...Do Not Open,The Chainsmokers
Castle on the Hill,÷ (Deluxe),Ed Sheeran
Stitches,Handwritten,Shawn Mendes
Galway Girl,÷ (Deluxe),Ed Sheeran
What Do You Mean?,Purpose (Deluxe),Justin Bieber
Shape of You,÷ (Deluxe),Ed Sheeran
I Got You,Expectations,Bebe Rexha
Sorry,Purpose (Deluxe),Justin Bieber
Scared to Be Lonely,Scared to Be Lonely,Martin Garrix
Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony
Fast Car,Blue,Jonas Blue
Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit
One Call Away,Nine Track Mind,Charlie Puth
Stressed Out,Blurryface,Twenty One Pilots
The Nights,The Days / Nights,Avicii
Dangerously,Nine Track Mind,Charlie Puth
Hey Brother,True,Avicii
The Days,The Days / Nights,Avicii
Waiting For Love,Stories,Avicii
Without You (feat. Sandro Cavazza),AVĪCI (01),Avicii
Marvin Gaye (feat. Meghan Trainor),Nine Track Mind,Charlie Puth
Heaven,TIM,Avicii
Lonely Together (feat. Rita Ora),AVĪCI (01),Avicii
Thrift Shop (feat. Wanz),The Heist (Deluxe Edition),Macklemore & Ryan Lewis
All In My Head (Flex) (feat. Fetty Wap),7/27 (Deluxe),Fifth Harmony
SOS (feat. Aloe Blacc),TIM,Avicii
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars
Cheerleader (Felix Jaehn Remix) - Radio Edit,Me 4 U,OMI
Counting Stars,Native,OneRepublic
Whistle,Wild Ones,Flo Rida
Pompeii,Bad Blood,Bastille
There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes
Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction
Mama,Blue,Jonas Blue
Monster (Shawn Mendes & Justin Bieber),Monster,Shawn Mendes
The Business,The Business,Tiësto
Wake Me Up,True,Avicii
All We Got (feat. KIDDO),All We Got (feat. KIDDO),Robin Schulz
I Know What You Did Last Summer,Handwritten,Shawn Mendes
Lush Life,So Good,Zara Larsson
Hymn for the Weekend,A Head Full of Dreams,Coldplay
Want to Want Me,Everything Is 4,Jason Derulo
Please Don't Go,Please Don't Go,Joel Adams
Pretty Girl - Cheat Codes X CADE Remix,Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann
Blank Space,1989 (Deluxe),Taylor Swift
Rise,Blue,Jonas Blue
FRIENDS,FRIENDS,Marshmello
2002,Speak Your Mind (Deluxe),Anne-Marie
I Like Me Better,I met you when I was 18. (the playlist),Lauv
Happier,Happier,Marshmello
IDGAF,Dua Lipa (Deluxe),Dua Lipa
Back to You (feat. Bebe Rexha & Digital Farm Animals),Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
Locked Away (feat. Adam Levine),What Dreams Are Made Of,R. City
It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo
2U (feat. Justin Bieber),7,David Guetta
Friends (with BloodPop®),Friends (with BloodPop®),Justin Bieber
No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),Cheat Codes
Cake By The Ocean,DNCE,DNCE
Starving,Starving,Hailee Steinfeld
Thunder,Evolve,Imagine Dragons
Whatever It Takes,Evolve,Imagine Dragons
By Your Side,Blue,Jonas Blue
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa
Maps,V,Maroon 5
Blame (feat. John Newman),Motion,Calvin Harris
Bad Blood,1989,Taylor Swift
Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),Calvin Harris
Me And My Broken Heart,Let The Road,Rixton
We Are Young (feat. Janelle Monáe),Some Nights,fun.
Sugar,V,Maroon 5
Human,Human (Deluxe),Rag'n'Bone Man
Heartless (feat. Morgan Wallen),Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,Diplo
This City,This City,Sam Fischer
If We Have Each Other,Narrated For You,Alec Benjamin
Don't Matter,Konvicted,Akon
Paint The Town Red,Paint The Town Red,Doja Cat
TQG,MAÑANA SERÁ BONITO,KAROL G
