Name,Album,Artist
Satranga,ANIMAL,Manan Bhardwaj
Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),Sachin-Jigar
"Tere Sang Ishq Hua (From ""Yodha"")","Tere Sang Ishq Hua (From ""Yodha"")",Tanishk Bagchi
Tere Saaye,Tere Saaye,Kushagra Agrawal
Vida Karo,Amar Singh Chamkila,A.R. Rahman
"O Maahi (From ""Dunki"")","O Maahi (From ""Dunki"")",Pritam
Shayad,Love Aaj Kal (Original Motion Picture Soundtrack),Pritam
Naam Kar Mere,Naam Kar Mere,Laqshay Kapoor
"Hawayein (From ""Jab Harry Met Sejal"")","Hawayein (From ""Jab Harry Met Sejal"")",Pritam
"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"")",Pritam
Pal,Jalebi (Original Motion Picture Soundtrack),Various Artists
Barbaad,Barbaad,Laqshay Kapoor
Main Yaad Aaunga,Main Yaad Aaunga,Stebin Ben
"Samjhawan (From ""Humpty Sharma Ki Dulhania"")",Arijit Singh - Ultimate Love Songs,Arijit Singh
"Bandeya - From ""Dil Juunglee""","Bandeya (From ""Dil Juunglee"")",Shaarib Toshi
"Qismat Badal Di (From ""Yodha"")","Qismat Badal Di (From ""Yodha"")",Ammy Virk
Aawara,Aawara,KSHMR
Hamari Adhuri Kahani (Title Track),Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli
"Tu Mil Gaya (From ""Srikanth"")","Tu Mil Gaya (From ""Srikanth"")",Tanishk Bagchi
Ishq Nahi Karte (LOFI),Ishq Nahi Karte (LOFI),DJ Nitish Gulyani
"Deva Deva (From ""Brahmastra"")","Deva Deva (From ""Brahmastra"")",Pritam
Channa Mereya,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Pritam
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")","Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam
"Do Kinaare - From ""Do Aur Do Pyaar""","Do Kinaare (From ""Do Aur Do Pyaar"")",Various Artists
"Tum Hi Ho (From ""Aashiqui 2"")",Loveholic Arijit Singh,Arijit Singh
Soch Liya,Radhe Shyam,Mithoon
Aashiqui Aa Gayi,Radhe Shyam,Mithoon
"Ta Ra Ta Ra Ta - From ""Do Aur Do Pyaar""","Ta Ra Ta Ra Ta (From ""Do Aur Do Pyaar"")",Vishal Dadlani
"Girl I Need You (From ""Baaghi"")",Best Of Arijit Singh - Revisited,Arijit Singh
"Raaz Aankhein Teri (From ""Raaz Reboot"")",Loveholic Arijit Singh,Arijit Singh
"Kabhi Jo Baadal Barse (From ""Jackpot"")",Loveholic Arijit Singh,Arijit Singh
Mulaqat,Mulaqat,Prateek Kuhad
"Khamoshiyan (From ""Khamoshiyan"")","Khamoshiyan (From ""Khamoshiyan"")",Jeet Gannguli
Janam Janam,Dilwale (Original Motion Picture Soundtrack),Pritam
Mareez - E - Ishq,Zid (Original Motion Picture Soundtrack),Shaarib Toshi
"Le Aaunga (From ""Satyaprem Ki Katha"")","Le Aaunga (From ""Satyaprem Ki Katha"")",Tanishk Bagchi
Laut Aana (Lofi),Laut Aana (Lofi),DJ Nitish Gulyani
Judaai,Badlapur (Original Motion Picture Soundtrack),Sachin-Jigar
"Ijazat (From ""One Night Stand"") (feat. Arijit Singh)",Loveholic Arijit Singh,Arijit Singh
"Shayad (Aaj Kal) - From ""Love Aaj Kal""","Shayad (Aaj Kal) [From ""Love Aaj Kal""]",Pritam
Uska Hi Banana,1920 Evil Returns,Chirantan Bhatt
"Lo Maan Liya (From ""Raaz Reboot"")",Arijit Singh Broken Strings,Arijit Singh
Tum Bewafa Ho (Lofi),Tum Bewafa Ho (Lofi),Stebin Ben
"Duaa (From ""Shanghai"")",Arijit Singh Broken Strings,Arijit Singh
Haqeeqat ke pare,Haqeeqat ke pare,Kapow!
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Zara Hatke Zara Bachke,Sachin-Jigar
"Tere Hawaale (From ""Laal Singh Chaddha"")","Tere Hawaale (From ""Laal Singh Chaddha"")",Pritam
Heeriye (feat. Arijit Singh),Heeriye (feat. Arijit Singh),Jasleen Royal
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam
Jaan 'Nisaar,The Arijit Singh Collection,Arijit Singh
"Heer Raanjhana (From ""Bachchhan Paandey"")","Heer Raanjhana (From ""Bachchhan Paandey"")",Amaal Mallik
"Mere Yaaraa (From ""Sooryavanshi"")","Mere Yaaraa (From ""Sooryavanshi"")",Arijit Singh
"Lambiyaan Si Judaiyaan (From ""Raabta"")",Arijit Singh Broken Strings,Arijit Singh
Muskurane - Romantic,Citylights (Original Motion Picture Soundtrack),Jeet Gannguli
"Agar Tum Saath Ho (From ""Tamasha"")",Loveholic Arijit Singh,Arijit Singh
Chhod Diya,Baazaar,Various Artists
Khairiyat,Chhichhore,Pritam
"Pachtaoge (From ""Jaani Ve"")","Pachtaoge (From ""Jaani Ve"")",Arijit Singh
"Chahun Main Ya Naa (From ""Aashiqui 2"")",Arijit Singh Broken Strings,Arijit Singh
"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)",Shivaay,Mithoon
"Manwa Laage (From ""Happy New Year"")",Best Of Shreya Ghoshal,Shreya Ghoshal
Main Dhoondne Ko Zamaane Mein,Heartless,Gaurav Dagaonkar
Soch Na Sake,Airlift,Amaal Mallik
Mera Pyar Tera Pyar,Jalebi (Original Motion Picture Soundtrack),Various Artists
Intezaar,Intezaar,Arijit Singh
"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]","Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon
