Name,Album,Artist
Moves Like Jagger,Singles,Maroon 5
"Raabta (From ""Agent Vinod"")",Arijit Singh Broken Strings,Arijit Singh
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth
Kabhi Kabhi Aditi,Jaane Tu... Ya Jaane Na,A.R. Rahman
Pani Da Rang - Male Vocals,Vicky Donor (Original Motion Picture Soundtrack),Various Artists
Payphone,Overexposed Track By Track,Maroon 5
Bones,Bones,Imagine Dragons
Dynasties & Dystopia (from the series Arcane League of Legends),Dynasties & Dystopia (from the series Arcane League of Legends),Denzel Curry
"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"")",Pritam
Cold (feat. Future),Red Pill Blues (Deluxe),Maroon 5
Mi Gente,Mi Gente,J Balvin
"Mitti Di Khushboo (From ""Mitti Di Khushboo"")",Guitar Cafe - Ayushmann Khurrana,Ayushmann Khurrana
Wano Theme (Drums of Liberation),Wano Theme (Drums of Liberation),Carameii
DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),USHER
Till I Collapse,The Eminem Show,Eminem
Sunn Raha Hai (Male Version),Aashiqui 2,Mithoon
"Bekhayali (From ""Kabir Singh"")","Bekhayali (From ""Kabir Singh"")",Sachet Tandon
In The Dark (with Jhené Aiko),Shang-Chi and The Legend of The Ten Rings: The Album,88rising
Udd Gaye,Ved,Ritviz
"Galliyan (From ""Ek Villain"")",Best Of Shraddha Kapoor,Shraddha Kapoor
Mera Mann Kehne Laga,Latest Songs Of Ayushmann Khurrana,Ayushmann Khurrana
,,Various Artists
Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve
Sunroof,Sunroof,Nicky Youre
Final Masquerade,The Hunting Party,Linkin Park
Whatever It Takes,Evolve,Imagine Dragons
Dekhte Dekhte,Batti Gul Meter Chalu,Various Artists
Samjhawan,Samjhawan,Jawad Ahmad
Mitwa,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy
Jeena Jeena,Badlapur (Original Motion Picture Soundtrack),Sachin-Jigar
Starboy,Starboy,The Weeknd
Ye Ishq Hai,Jab We Met,Various Artists
Kal Ho Naa Ho,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy
In the End,Hybrid Theory (Bonus Edition),Linkin Park
Black Catcher,Black Catcher, VK Blanka
Tum Hi Ho,Aashiqui 2,Mithoon
Kar Gayi Chull,The Badshah of Party Hits,Badshah
Blinding Lights,After Hours,The Weeknd
Jashn-E-Bahaaraa,Jodhaa Akbar (Original Motion Picture Soundtrack),A.R. Rahman
Liggi,Dev,Ritviz
"Doobey (From ""Gehraiyaan"")","Doobey (From ""Gehraiyaan"")",Various Artists
CASTLE OF GLASS,LIVING THINGS,Linkin Park
"High Rated Gabru (From ""High Rated Gabru"")",High Rated Gabru - Guru Randhawa,Guru Randhawa
Jeet,Ved,Ritviz
"Sab Tera (From ""Baaghi"")",2016 Shining Star - Armaan Malik,Various Artists
"Bolna (From ""Kapoor & Sons (Since 1921)"")","Bolna (From ""Kapoor & Sons (Since 1921)"")",Tanishk Bagchi
Shotgun,Staying at Tamara's,George Ezra
Chop Suey!,Toxicity,System Of A Down
Radioactive,Night Visions,Imagine Dragons
Ambarsariya,Fukrey,Ram Sampath
Khuda Jaane,Bachna Ae Haseeno,Vishal-Shekhar
Playground (from the series Arcane League of Legends),Arcane League of Legends (Soundtrack from the Animated Series),Arcane
thunderBOLTfantasy,Thunderbolt Fantasy 東離劍遊紀 オリジナルサウンドトラック,Hiroyuki Sawano
,,Various Artists
アカシア,アカシア,BUMP OF CHICKEN
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh
The Warriors,Attack on Titan The Final Season Original Soundtrack,Kohta Yamamoto and Hiroyuki Sawano
Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay
Bring Me To Life,Fallen,Evanescence
Unholy Confessions,Waking The Fallen,Avenged Sevenfold
Elite,Elite,Various Artists
Waiting for the End,A Thousand Suns,Linkin Park
"Raataan Lambiyan (From ""Shershaah"")","Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi
Waiting For Love,Stories,Avicii
ADAMAS,赤い罠(who loves it?) / ADAMAS,LiSA
BURN IT DOWN,LIVING THINGS,Linkin Park
Toxicity,Toxicity,System Of A Down
"Bawara Mann (From ""Jolly Ll.B 2"")",Romantic Hits By Jubin Nautiyal,Jubin Nautiyal
Ride,Blurryface,Twenty One Pilots
裸の勇者,裸の勇者,Vaundy
How Long,Voicenotes,Charlie Puth
Breaking the Habit,Meteora (Bonus Edition),Linkin Park
Heathens,Heathens,Twenty One Pilots
Haunted,Fallen,Evanescence
Nagato,Nagato,Headband Andy
Dil Diyan Gallan,Tiger Zinda Hai,Vishal-Shekhar
"Katakuri Theme (from ""One Piece"")","Katakuri Theme (from ""One Piece"")",Tito Cordone
Dil Kyun Yeh Mera,Kites,Rajesh Roshan
黒点,NARUTO-ナルト- 疾風伝　オリジナル・サウンドトラック Ⅱ,Yasuharu Takanashi
Kabira (Encore),Yeh Jawaani Hai Deewani,Pritam
"BLEACH Invasion (From ""BLEACH The Movie: The DiamondDust Rebellion Original Soundtrack"") - Remix","ANIME REMIXES, Vol. 3",Rifti Beats
That's What I Like,24K Magic,Bruno Mars
Treachery (Bleach),Anime Trap Beats,Kayou. Beats
Kaun Tujhe,M.S.Dhoni - The Untold Story,Amaal Mallik
Indra Vs Ashura,Indra Vs Ashura,Nico Bellisario
Sugar,V (Asia Tour Edition),Maroon 5
,,Various Artists
Itni Si Baat Hain,Azhar,Various Artists
Agar Tum Saath Ho,Tamasha,A.R. Rahman
Nami's Theme (Chill Trap Remix),Nami's Theme (Chill Trap Remix),NIBREZZY
Nadaan Parinde,Rockstar,A.R. Rahman
"Besabriyaan (From ""M.S.Dhoni - The Untold Story"")",2016 Shining Star - Armaan Malik,Various Artists
Ilahi,Yeh Jawaani Hai Deewani,Pritam
Counting Stars,Native,OneRepublic
Something Just Like This,Memories...Do Not Open,The Chainsmokers
Khairiyat,Chhichhore,Pritam
Demons,Night Visions,Imagine Dragons
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Acts 1 & 2,Imagine Dragons
Immortals,American Beauty/American Psycho,Fall Out Boy
